#KEPID,_,_,T_cen,_,_,_,_,b,_,_,_,_,v,_,_,_,_,p0,_,_,_,_,F0,_,_,_,_,u1,_,_,_,_,u2,_,_,_,_,Rp,_,_,_,_,P,_,_,_,_,A,_,_,_,_,K_rv,_,_,_,_,T_s,_,_,_,_,R_s,_,_,_,_,M_s,_,_,COMEPLTE?,COMMENT?
#,-2sig,-1sig,med,+1sig,+2sig,-2sig,-1sig,med,+1sig,+2sig,-2sig,-1sig,med,+1sig,+2sig,-2sig,-1sig,med,+1sig,+2sig,-2sig,-1sig,med,+1sig,+2sig,-2sig,-1sig,med,+1sig,+2sig,-2sig,-1sig,med,+1sig,+2sig,-2sig,-1sig,med,+1sig,+2sig,-2sig,-1sig,med,+1sig,+2sig,-2sig,-1sig,med,+1sig,+2sig,-2sig,-1sig,med,+1sig,+2sig,-2sig,-1sig,med,+1sig,+2sig,-2sig,-1sig,med,+1sig,+2sig,-2sig,-1sig,med,+1sig,+2sig
[ 1491.51849104  1491.51896136  1491.51946956  1491.51995526  1491.52043342],[-0.34800889 -0.29468628 -0.21388755 -0.10199207  0.03736381],[ 3.16300783  3.21507034  3.28089911  3.3344221   3.35999395],[ 0.12193414  0.12284925  0.12389675  0.12513577  0.12612321],[ 0.50960028  0.56188832  0.60580543  0.63668049  0.66020675],[ 0.00227253  0.01890373  0.07792928  0.18328105  0.31052569],[-27.70777381 -27.70777381 -27.70777381 -27.70777381 -27.70777381],[-0.60400239  0.18599541  0.9564561   1.74742513  2.50497198],"[ -4.20171125e+05   6.16134386e+01   4.35110028e+02   6.26297811e+03
   1.12046681e+06]","[  2.13887059e-01   4.55706545e-01   1.47377459e+00   1.24998008e+01
   7.19359109e+02]",[ 4676.  4827.  4978.  5108.  5238.],[-1.624 -0.408  0.808  0.882  0.956],[ 0.51   0.641  0.772  0.83   0.888]
[ 1491.51842189  1491.51891836  1491.51942742  1491.51988615  1491.52034609],[-0.36782794 -0.30188045 -0.22371823 -0.13256595 -0.01403366],[ 3.13858124  3.20823483  3.27540144  3.32446086  3.35785779],[ 0.12176461  0.12298508  0.12405868  0.12518107  0.12641197],[ 0.519126    0.56566851  0.60741899  0.63603111  0.65722066],[ 0.00225374  0.01682132  0.07167273  0.17157997  0.31205332],[-27.70777381 -27.70777381 -27.70777381 -27.70777381 -27.70777381],[-0.54860456  0.20151979  0.96915294  1.74409207  2.45678522],"[ -5.49850291e+05   6.91927591e+01   4.44314303e+02   7.15920348e+03
   1.09563833e+06]","[  2.28908502e-01   4.61838956e-01   1.48009980e+00   1.33424904e+01
   6.36112642e+02]",[ 4676.  4827.  4978.  5108.  5238.],[-1.624 -0.408  0.808  0.882  0.956],[ 0.51   0.641  0.772  0.83   0.888]
[ 1491.51839506  1491.51894603  1491.51941932  1491.51989554  1491.52039296],[-0.32818971 -0.2661472  -0.18800579 -0.08420752  0.01067196],[ 3.17789408  3.238019    3.29241741  3.3343799   3.36073285],[ 0.12176618  0.12254989  0.12353712  0.12473563  0.12566305],[ 0.51629064  0.55955085  0.60222114  0.63707435  0.66592458],[ 0.00433924  0.02741731  0.09826765  0.20589858  0.31162405],[-55.70981021 -28.55363519 -27.49259873 -18.32266911 -17.90703979],[-0.51719621  0.21637902  0.96398309  1.7493699   2.5427136 ],"[ -4.76708140e+05   6.56983398e+01   4.37986117e+02   6.45314494e+03
   8.41314590e+05]","[  2.10291958e-01   4.47212867e-01   1.45201291e+00   1.25632406e+01
   5.49616881e+02]",[ 4676.  4827.  4978.  5108.  5238.],[-1.624 -0.408  0.808  0.882  0.956],[ 0.51   0.641  0.772  0.83   0.888]
[ 1491.51834372  1491.51888967  1491.51936789  1491.51991138  1491.52042414],[-0.34430004 -0.28171887 -0.18934105 -0.10517075 -0.02108413],[ 3.16346375  3.22516146  3.29184761  3.33375398  3.36106727],[ 0.12176992  0.12270341  0.123618    0.1248215   0.12586928],[ 0.50571968  0.55490021  0.59973737  0.63290028  0.65910083],[ 0.00377532  0.02910628  0.09775189  0.21065481  0.33530832],[-33.50202878 -27.76122456 -25.67652157 -18.24456084 -17.85560813],[ 0.83085857  0.8523563   0.8729802   0.89432986  0.91358601],[  875.02277007   949.77050361  1037.8200747   1133.46180787  1245.55074714],[ 1.62047477  1.72264242  1.83722422  1.9577589   2.09073352],[ 4790.  4840.  4890.  4940.  4990.],[ 0.693   0.7095  0.726   0.7425  0.759 ],[ 0.718  0.744  0.77   0.796  0.822]
[ 1491.51848412  1491.51896909  1491.51943829  1491.51997417  1491.5204388 ],[-0.35744011 -0.29965118 -0.20064277 -0.06699944  0.04120946],[ 3.15140568  3.21049711  3.28776802  3.3375816   3.35883982],[ 0.1216858   0.12247107  0.12366638  0.1251392   0.12623401],[ 0.50865821  0.5646556   0.60507488  0.63649164  0.66372863],[ 0.00271308  0.02480286  0.08545829  0.18529966  0.31747244],[-47.31891754 -28.2868669  -27.63271694 -18.26554253 -17.84919662],[ 0.83147884  0.85256029  0.87390865  0.89576698  0.91811208],[  871.21407952   951.41770469  1040.88810872  1142.66428716  1263.16796389],[ 1.61590898  1.72380266  1.84110679  1.97014969  2.11053219],[ 4790.  4840.  4890.  4940.  4990.],[ 0.693   0.7095  0.726   0.7425  0.759 ],[ 0.718  0.744  0.77   0.796  0.822]
[ 1491.51850606  1491.5189391   1491.51944121  1491.51995221  1491.5204192 ],[-0.32212265 -0.24659347 -0.15695495  0.00300555  0.10348754],[ 3.18963532  3.25367516  3.30970916  3.34495925  3.36674437],[ 0.12173069  0.12251151  0.12334196  0.12439547  0.12549161],[ 0.50369671  0.55632374  0.59905745  0.63304621  0.66214417],[ 0.00493464  0.03454839  0.1087957   0.20684769  0.31748416],"[ -1.83989874e+06  -9.07571856e+04  -1.85962996e+01  -1.80986378e+01
  -1.77967572e+01]",[ 0.83076328  0.85080254  0.87203076  0.89335558  0.91533303],[  857.68280512   933.97432748  1017.82607316  1113.56249579  1219.66988398],[ 1.59878454  1.70448319  1.81402191  1.93274276  2.06054384],[ 4790.  4840.  4890.  4940.  4990.],[ 0.693   0.7095  0.726   0.7425  0.759 ],[ 0.718  0.744  0.77   0.796  0.822]
[ 1491.51844534  1491.51892806  1491.51942023  1491.51992137  1491.52039651],[-0.326523   -0.24810061 -0.12546241  0.04796255  0.15525008],[ 3.18590849  3.25255122  3.31602034  3.34771853  3.3671581 ],[ 0.12155236  0.12243988  0.12331568  0.12436264  0.12561877],[ 0.50371     0.55448079  0.59722281  0.63170212  0.65730443],[ 0.00422507  0.03090454  0.10662736  0.21366539  0.34069664],"[ -3.10159495e+04  -5.68745427e+02  -1.87058334e+01  -1.81159699e+01
  -1.77993100e+01]",[ 0.82984692  0.85094354  0.87188356  0.89295705  0.91304312],[  856.2749131    932.02830379  1014.0195069   1108.4534781   1219.03262113],[ 1.5980137   1.70006369  1.80891366  1.928899    2.06507902],[ 4790.  4840.  4890.  4940.  4990.],[ 0.693   0.7095  0.726   0.7425  0.759 ],[ 0.718  0.744  0.77   0.796  0.822]
